No.,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21
1.0,100.7532281640623,198.46033028374427,4.005767544906299,5.0514168584859505,0.09230697644963584,7.085105424742103,0.19963765079901982,0.00014788322166665033,1.991208223303777,0.6988126708620964,0.0005677538153264488,5.7237538356731e-05,2.0277687635254478,0.001365434274401188,9.321468026443531e-05,0.0009056456646217863,78.84848829697464,4909.4870019273,471.18096816426396,603.7706789055622,7148.915097271455
2.0,102.97710056868999,195.29377287403076,4.034192732313165,5.00545544193134,0.09587194172763357,7.229249092210617,0.1977160976224959,0.0002431513900983185,2.001998843817651,0.6907100174250196,0.0005860730748120668,5.981941746817943e-05,2.0060538180641423,0.001375673910542742,9.545917685528097e-05,0.0009259604003265222,80.013745429609,4890.551328748349,481.0604848060248,598.8286614633006,7180.518841322678
3.0,103.16304037919444,197.11610842181364,4.03585420749431,4.936234603191493,0.0982583986219572,7.064536223460131,0.19377119114811558,0.00025159989651235944,1.974511527600369,0.6967522671755755,0.0005891149864923285,6.02506112045442e-05,2.0017917006234796,0.0013519039414704673,9.685826769062802e-05,0.0008457630046886753,80.71405871824993,4767.654412276004,467.29445293878496,601.1520789206689,7005.244248577209
4.0,103.3824575770038,195.11648665218843,4.013857828382743,4.928301996381956,0.10097602900724768,7.000037447742274,0.19266837849975488,0.00034440350767491823,1.9950908505632101,0.6966204044962596,0.0005700782292836908,5.830342046319842e-05,2.0205148820174474,0.0013334428980357111,9.855393600631381e-05,0.0008344678409528372,79.41920096162916,4728.207247048507,454.90322567189827,599.7257236795343,7172.725113881959
5.0,101.60021624154662,195.3413503491254,4.016637258494376,4.8520993031558515,0.1059683260767646,6.890315367924426,0.19494743212938653,0.0002959657210643688,1.9687413123668673,0.6948243681656211,0.0005681747123443519,5.6795196241338434e-05,2.014761950018735,0.0013569964059171478,9.966396800083456e-05,0.0007728259322956555,79.32464789103153,4795.893941938005,476.80553829159885,606.4525159535712,7115.582569584397
6.0,102.75836634378844,195.98249660933172,4.03326605222599,4.944786537184419,0.1133061527998815,6.9331573128056005,0.19799862340881766,0.00024532181908593136,1.9888227380979104,0.7004290413983493,0.0005511652664574074,5.843760374379134e-05,2.014112381215111,0.0013450056726740012,0.00010100185216192068,0.0007525558021823621,79.3789538197573,4860.717246640746,486.3369952420816,603.7123332459194,7175.581250039121
7.0,102.58839988134932,198.0556778013398,4.049562298921389,5.020344874028148,0.11167226285506056,6.763294398033765,0.2021037627785855,0.0003007863285771036,2.011259324063622,0.699150628969866,0.0005378912547755464,5.653885509455688e-05,1.9906988465763906,0.0013191318470943726,9.996911936512543e-05,0.0008091024356060726,79.85430757781602,4768.84950240373,506.54386826894984,609.8967073475096,7024.309590277968
8.0,102.81440574085099,196.41975473790103,4.0897825818987785,5.1098100517525085,0.11689861902348256,6.721541669660338,0.20349051501399568,0.0003792334203690206,2.0351627135766397,0.6940492404349262,0.0005318415536427374,5.8768485942607426e-05,1.9700529972449756,0.0013001633306530698,9.895694727075517e-05,0.0008579848264298757,80.13529689025026,4651.932930206047,533.2346271458877,617.5750896389825,6995.701286558542
9.0,104.40833179369133,198.77776991747606,4.0569075708772395,5.073642095974747,0.11577431942655168,6.561316751500627,0.20632717710549558,0.0003660600070356025,2.0084305609796846,0.6875082399122081,0.0005474315460170303,6.0583595416665915e-05,1.980841409230412,0.0013492884216272628,9.878374533650078e-05,0.0009374771063655372,79.82123473461458,4589.845610009412,537.5863505663597,613.254935128837,6864.982311866658
10.0,105.33966427648033,195.64761399704787,4.02296837551927,5.086669486309601,0.11789728123321569,6.573681166015166,0.20874978427752436,0.00045350313427319246,2.0378608528520847,0.6792375162524285,0.0005688076390947399,5.995356881250753e-05,1.9536835008874955,0.0013092037434040027,9.691197997389387e-05,0.0009501437414054509,80.57941914973607,4672.469348265769,560.7811112071282,620.1702779184019,6684.86848226972
11.0,103.75688245491543,199.57549288984598,4.010644815076027,5.130872091839243,0.11556630612168745,6.458133455640411,0.20550503605762918,0.0005247590981134001,2.0613850328189005,0.6720177548215649,0.0005749209042080621,5.9317732664581336e-05,1.9446511090399863,0.0013380244778623729,9.716780799647416e-05,0.0008555603633578088,81.26834043469582,4795.631834882121,549.9209038054412,623.9081690044676,6704.017336495156
12.0,103.77227383103757,195.84750919079463,3.971661750387478,5.201984905736458,0.12136624468372094,6.337761889590308,0.2060999944029286,0.0005096689953911403,2.0333663468426657,0.6726309630095658,0.0005559419480317066,5.7981998839568747e-05,1.9639190397189754,0.0013783885482655442,9.95879772249408e-05,0.000917993772471347,79.98431098438125,4855.133546544085,522.0415524150877,627.0714884886878,6762.140411962645
