No.,Mismatch
137,125.14151727574442
138,125.77081759461967
139,125.06959113505421
140,122.9346666998988
141,124.45172591186416
142,122.21586000570889
143,123.48244107852476
144,123.6643914779628
145,121.94666979625701
146,124.56839727279021
147,125.30254826631479
148,120.74169833937802
149,122.78445900517599
150,121.83502997027567
151,120.86071268760658
152,122.21385864314081
153,123.91739360594548
154,124.10226231480591
155,122.94509909551908
156,122.51573462400597
157,123.20773947245436
158,123.03836762336854
159,122.28251463301716
160,120.66119593896626
161,123.57627242557963
162,123.77837776453495
163,122.62804959439673
164,120.42617500765819
165,122.40072780388088
166,123.06418701798562
167,121.62172256764416
168,122.46228692543119
169,120.936885083039
170,120.19754053943674
171,120.18232876156488
172,121.12058620664224
173,119.80094115730398
174,121.39318974431535
175,121.17317755435506
176,121.1943469025763
177,121.79433590662298
178,122.99713648028904
179,122.38887386391612
180,122.63469056308631
181,123.22399904259109
182,123.33070684081541
183,123.71107087196914
184,122.90357615347273
185,119.97120597939708
186,120.21497223678963
187,122.2485129488429
188,125.59470315617483
189,123.97114949852681
190,122.23103669791293
191,122.42534084942886
192,120.19297173743031
193,120.51549424900467
194,120.24317827853938
195,120.94651769367952
196,120.56750009824543
197,120.6245800887024
198,119.8079121260967
199,121.1161486099606
200,124.30608977899826
201,122.30611950612433
202,122.3591998511239
203,122.72868402676474
204,123.5105296122949
205,124.29721532025499
206,126.78374227055022
207,125.78353027203175
208,126.30696524524795
209,124.38481161465492
210,123.26962603825969
211,120.92766648975497
212,120.23445166237013
213,121.7697896895536
214,120.35486098899811
215,121.04021631717825
216,121.04943130955563
217,120.32527868994535
218,120.18599131743008
219,119.97242742784981
220,120.31689389164484
221,124.84592065777045
222,124.47990829764655
223,124.30148306871769
224,123.5540871768237
225,123.2782866592479
226,123.3928591799029
227,122.98622665000197
228,124.04742912244188
229,123.84451516186282
230,122.96850056227268
231,122.61717802252298
232,122.37608901225555
233,122.98606971350125
234,124.52575513981901
235,123.38246986111041
236,123.60227679860743
237,124.59319184388829
238,125.0844809380716
239,122.99192520971968
240,122.6080139897847
241,120.95607886835406
242,119.87151985579851
243,119.60461200061539
244,122.19738969101347
245,122.2965446713014
246,122.54331041089274
247,123.02604288877984
248,120.57154456451407
249,121.52451596315174
250,121.17610833594141
251,121.42851691509382
252,121.06520276835666
253,121.32775690802272
254,121.80927274851854
255,121.27470921485043
256,124.30782445659668
257,124.73236055412723
258,124.3584345857576
259,122.38828837325812
260,121.87233775691952
261,120.45360241685164
262,122.48062286257858
263,121.97216671198416
264,124.35217414444482
265,124.65497062017862
266,124.27175242346696
267,122.0246572490151
268,121.45296145327843
269,122.50503181117195
270,124.97216168604913
271,124.53174720995729
272,125.04584800384738
273,124.11759882805451
274,123.81338362924413
275,123.6161483118614
276,123.50164040480236
277,123.73409442038759
278,123.4926605569754
279,123.1561339935368
280,123.48524985967903
281,123.72177378468376
282,121.8886746048692
283,124.79960984201004
284,123.50868827665303
285,121.04242431045441
286,122.22748253860723
287,122.90862536809725
288,125.13201362656966
289,123.27335748904837
290,123.15385643072788
291,122.28460595427315
292,121.93885298036082
293,121.30715263204507
294,120.59067212473963
295,124.85180982254876
296,124.13231547266506
297,126.34928384731069
298,126.7785253097649
299,127.67485213829897
300,127.80114538432092
301,125.8944359756861
302,127.99532448121784
303,126.77874398097765
304,126.30900461397475
305,126.60525627026652
306,123.80560114677596
307,122.10085366754814
308,121.89973082285866
309,125.3602845417716
310,124.0392802719396
311,129.95960160825425
312,124.81356289331822
313,122.09021670052051
314,123.92327123444458
315,121.912093808335
316,122.67185920089
317,125.21342026546911
318,123.30848511101672
319,123.19298777089078
320,123.44308153473564
321,123.5570026383434
322,123.0348941386615
323,122.81047365116463
324,122.70909378080971
325,123.04597783432641
326,121.34860472147557
327,121.23390145465335
328,121.91797879595336
329,123.52236763207127
330,120.30794495543655
331,122.01870858122774
332,126.96303221584927
333,123.08171276500177
334,122.29382026088147
335,121.49414984186328
336,122.6292572920436
337,122.78338472544748
338,124.67793101070127
339,124.48434463506115
340,125.0654977867941
341,124.6749270844247
342,124.23890912298448
343,124.42733051610603
344,123.98998907321533
345,124.45122116249745
346,124.1000150783015
347,124.10534117018996
348,123.79016326431112
349,122.04316835218926
350,122.19586951344913
351,124.68750520409259
352,124.33561806752506
353,124.77868555066878
354,124.93659519764874
355,125.87079195815959
356,127.53813996683601
357,124.84277161594949
358,124.99314370957654
359,123.93932232398872
360,125.96816749515787
361,121.86329779873934
362,120.05408897329826
363,119.60313638687252
364,120.35221088385119
365,119.02415364217148
366,120.8540209140212
367,121.31168428383704
368,121.47187874825534
369,121.30085263463393
370,127.88406441405591
371,124.69508806583362
372,126.29720255833998
373,120.01210733114704
374,121.62002241821034
375,120.2719075204563
376,118.5169024667895
377,119.50605457189471
378,120.33571675233257
379,120.09672131293416
380,120.40920828490691
381,120.25207095712379
382,119.86477534351557
383,120.58727528157468
384,122.91264387045541
385,122.85727416746543
386,122.97945810816603
387,121.91770249379286
388,120.36612368449659
389,120.41701442759921
390,120.28782695113385
391,120.4338110974604
392,121.9191498665011
393,121.62151845696195
394,122.6482576843042
395,121.2090190209232
396,125.77661774938726
397,121.35561398383241
398,120.99130998365385
399,121.3665579519215
400,122.22061893793345
401,120.52253501304668
402,121.97865536144013
403,120.63813822065016
404,121.4120334960388
405,121.4787520399758
406,120.87521634316641
407,120.10418845654708
408,120.27945059241803
409,123.42026110260748
410,124.30329066289667
411,123.7895819185298
412,121.75697342518698
413,121.42039001852247
414,123.17651798289297
415,123.6724905891665
416,122.32199499458528
417,123.50231953096149
418,122.94190839221879
419,120.75768703627195
420,121.43396130648345
421,123.48902826458385
422,123.55868011775713
423,124.44435945655704
424,122.93936500588087
425,122.8108714705384
426,122.1010544846189
427,120.61291555877418
428,122.03680812485864
429,122.0979920328068
430,123.04565131387236
431,124.72715349369417
432,122.56624421267054
433,123.38605304773209
434,122.66115961190361
435,122.90550542220407
436,123.93968314826266
437,124.83313777511565
438,125.10670969133155
439,125.87671187476617
440,125.21047534054712
441,124.41723844295126
442,124.90046403072041
443,123.97726851509499
444,123.02743775488376
445,122.77151395868398
446,122.46052328317272
447,122.20649192063952
448,123.56876560769888
449,122.571885609036
450,124.83300551294587
451,123.44464039050409
452,124.03877715648741
453,124.47816445067397
454,125.3828209350569
455,124.53382802371628
456,124.14524671883522
457,122.90406541968314
458,121.88386229036149
459,122.46871811248621
460,124.1721561005112
461,126.66967855606416
462,127.03278242085591
463,129.6272446376113
464,127.94174326949654
465,125.86058608090775
466,122.12232580962275
467,121.5553268233363
468,123.07927504206522
469,123.51664631412896
470,121.78315904189759
