Name,Unit,OptimalParameterValues
c1,nan,99.6240509449233
c2,nan,199.8133239950215
c3,-,3.8284740298886892
c4,nan,4.95034643709487
c5,nan,0.10013564648736091
c6,-,4.9843335999604195
c7,-,0.3450637011938709
c8,nan,0.0001670237431356373
c9,-,1.7061261799124285
c10,-,0.6657391956062119
c11,nan,0.0012924105530512
c12,nan,4.655700188103955e-05
c13,-,2.020459544056212
c14,nan,0.001450009635611574
c15,nan,7.679360912956796e-05
c16,nan,0.001497099808508698
c17,nan,96.61193517602389
c18,nan,5362.941087673914
c19,nan,459.09407144694177
c20,nan,473.18414183352974
c21,nan,7435.285762679727
